ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
652,Zoe Driscoll,358.148836509394,Corporate university,3/27/2022,Zoe Driscoll,Zoe Driscoll,Zoe_Driscoll728@irrepsy.com,7-078-410-3203,Female,9/20/2020,Charlotte,3.46755743467601
653,Audrey Kent,46.0717936153858,Technical college,3/9/2022,Audrey Kent,Audrey Kent,Audrey_Kent7039@sheye.org,6-754-451-5358,Female,4/20/2021,Charlotte,161.844147151729
654,Wendy Abbot,465.001148058568,Junior college,4/7/2022,Wendy Abbot,Wendy Abbot,Wendy_Abbot3627@muall.tech,0-425-356-5163,Female,5/6/2021,Berna,109.643444130031
655,Luna Pearce,267.78351382808,Gymnasium,4/12/2022,Luna Pearce,Luna Pearce,Luna_Pearce7984@deavo.com,3-087-818-4712,Female,11/27/2020,Springfield,39.0386362956085
656,Liam Griffiths,168.104500866544,University-preparatory school,4/15/2022,Liam Griffiths,Liam Griffiths,Liam_Griffiths974@cispeto.com,7-200-856-0440,Male,9/18/2021,Kansas City,19.4625673175149
657,Ramon Powell,174.831193931788,High school,3/31/2022,Ramon Powell,Ramon Powell,Ramon_Powell6448@jiman.org,0-663-324-7761,Male,1/18/2022,Portland,125.635330560447
658,Destiny Niles,473.521522316393,Middle school,4/12/2022,Destiny Niles,Destiny Niles,Destiny_Niles7410@twipet.com,0-810-807-3062,Female,2/4/2021,Norfolk,168.888718545385
659,Emerald Gray,84.7087218806654,Gymnasium,4/10/2022,Emerald Gray,Emerald Gray,Emerald_Gray275@gembat.biz,4-030-567-7682,Female,8/10/2021,Phoenix,185.28001929367
660,Audrey Farrell,332.517931353542,High school,3/29/2022,Audrey Farrell,Audrey Farrell,Audrey_Farrell8475@womeona.net,7-047-587-5718,Female,4/28/2020,Miami,90.2764830064385
661,Eryn Adams,364.729782806118,Public university,3/18/2022,Eryn Adams,Eryn Adams,Eryn_Adams2224@brety.org,6-743-513-7572,Female,6/18/2020,Hollywood,185.947226784167
662,Danielle Umney,109.151780772094,Technical college,3/12/2022,Danielle Umney,Danielle Umney,Danielle_Umney433@kideod.biz,5-532-251-1405,Female,7/7/2021,Salem,142.672828364499
663,Phoebe Power,21.1063709292125,High school,3/26/2022,Phoebe Power,Phoebe Power,Phoebe_Power4584@gompie.com,6-436-661-8076,Female,3/31/2022,Bakersfield,138.559544679038
664,David Summers,-36.9547177790453,Technical college,3/23/2022,David Summers,David Summers,David_Summers2847@acrit.org,7-848-112-1806,Male,6/10/2020,Toledo,113.781330875951
665,Roger Clarke,470.473194065724,Middle school,3/21/2022,Roger Clarke,Roger Clarke,Roger_Clarke3721@deavo.com,1-748-440-0465,Male,4/3/2021,Madrid,195.228217194429
666,Noah Chadwick,-50.7384007264573,Public university,3/2/2022,Noah Chadwick,Noah Chadwick,Noah_Chadwick8120@twace.org,7-525-656-0685,Male,2/14/2021,Henderson,27.4097055911132
667,Barry Richardson,-12.190382420174,Middle school,4/5/2022,Barry Richardson,Barry Richardson,Barry_Richardson5164@twipet.com,2-656-816-1368,Male,9/17/2020,Prague,151.577804260225
668,Rick Keys,393.911207569256,Corporate university,3/23/2022,Rick Keys,Rick Keys,Rick_Keys3709@sheye.org,5-162-477-2238,Male,11/16/2020,Orlando,66.0765909511021
669,Ethan Douglas,291.678898790702,Gymnasium,4/14/2022,Ethan Douglas,Ethan Douglas,Ethan_Douglas7042@twipet.com,1-083-240-2784,Male,3/30/2021,Anaheim,44.5483211844919
670,Barney Morgan,431.594025481769,University college,3/27/2022,Barney Morgan,Barney Morgan,Barney_Morgan448@guentu.biz,7-507-838-2330,Male,5/10/2021,Tokyo,112.387598818814
671,Evelynn Tait,308.20569543876,Junior college,3/8/2022,Evelynn Tait,Evelynn Tait,Evelynn_Tait4958@nimogy.biz,5-706-637-3160,Female,6/29/2021,Berlin,9.38527793036088
672,Mike Ventura,459.227783645609,Corporate university,4/13/2022,Mike Ventura,Mike Ventura,Mike_Ventura716@eirey.tech,4-864-348-7611,Male,2/12/2021,Boston,92.8110904776543
673,Logan Shepherd,204.900067637162,University-preparatory school,4/14/2022,Logan Shepherd,Logan Shepherd,Logan_Shepherd5272@twipet.com,5-034-274-3782,Male,11/18/2021,Saint Paul,-1.19231920186073
674,Henry Nielson,300.679262066576,Middle school,3/20/2022,Henry Nielson,Henry Nielson,Henry_Nielson6500@deons.tech,8-285-180-4160,Male,3/5/2021,Nashville,88.3909520797389
675,Alexander Wren,418.210454585129,Technical college,3/19/2022,Alexander Wren,Alexander Wren,Alexander_Wren448@womeona.net,8-172-388-6444,Male,4/15/2022,San Francisco,66.6838677170146
676,Angelica Rivers,144.246966482255,Gymnasium,3/19/2022,Angelica Rivers,Angelica Rivers,Angelica_Rivers2453@nickia.com,6-111-650-3736,Female,10/16/2021,Jersey City,104.171350597018
677,Moira Smith,215.980368765993,Corporate university,4/9/2022,Moira Smith,Moira Smith,Moira_Smith1975@ovock.tech,8-277-476-2520,Female,8/11/2020,Berlin,87.5002730742564
678,Ruby Funnell,411.616192209356,Technical college,3/31/2022,Ruby Funnell,Ruby Funnell,Ruby_Funnell9630@muall.tech,3-537-584-8042,Female,5/24/2020,Richmond,121.148797398502
679,Bethany Sinclair,348.463858838875,Junior college,3/21/2022,Bethany Sinclair,Bethany Sinclair,Bethany_Sinclair6965@supunk.biz,3-656-270-5634,Female,3/29/2022,Omaha,34.278061642441
680,Matthew Fox,49.745860425637,Corporate university,4/12/2022,Matthew Fox,Matthew Fox,Matthew_Fox7438@liret.org,1-207-733-0510,Male,12/8/2020,Albuquerque,22.634830750355
681,Aurelia James,313.646674546249,Technical college,3/21/2022,Aurelia James,Aurelia James,Aurelia_James8512@cispeto.com,3-812-173-2311,Female,1/26/2022,St. Louis,155.098966114269
682,Melody Pearson,-33.8451940807724,University college,3/31/2022,Melody Pearson,Melody Pearson,Melody_Pearson4927@womeona.net,6-655-411-7878,Female,3/5/2021,Amarillo,40.503765774194
683,Gina Adams,-16.8633410054554,Corporate university,4/12/2022,Gina Adams,Gina Adams,Gina_Adams4459@sveldo.biz,7-754-820-7618,Female,1/12/2022,Albuquerque,151.828501584394
684,William Brock,427.473402877559,University-preparatory school,3/29/2022,William Brock,William Brock,William_Brock2094@elnee.tech,2-361-374-7473,Male,2/26/2021,Pittsburgh,103.200031199586
685,Eduardo Notman,465.066904724141,Corporate university,4/18/2022,Eduardo Notman,Eduardo Notman,Eduardo_Notman8020@jiman.org,2-465-612-8768,Male,7/21/2021,Long Beach,63.3056492201545
686,Jessica York,168.500388489338,University college,3/25/2022,Jessica York,Jessica York,Jessica_York6338@elnee.tech,3-650-264-2135,Female,4/6/2020,London,128.5620124501
687,Adelaide Harrington,-92.9909767629537,Corporate university,3/4/2022,Adelaide Harrington,Adelaide Harrington,Adelaide_Harrington4648@fuliss.net,4-134-505-8670,Female,2/8/2021,Milano,33.1942217658247
688,Owen Harper,377.724626334256,Graduate school,4/4/2022,Owen Harper,Owen Harper,Owen_Harper4669@grannar.com,0-630-164-7266,Male,5/3/2020,London,162.62278298597
689,Enoch Nicolas,6.35486702497809,High school,3/21/2022,Enoch Nicolas,Enoch Nicolas,Enoch_Nicolas4538@elnee.tech,6-220-404-8683,Male,4/25/2021,Ontario,65.115795705987
690,Jacob Russell,334.779972385047,Gymnasium,3/25/2022,Jacob Russell,Jacob Russell,Jacob_Russell648@twipet.com,8-730-575-4478,Male,10/14/2021,Madison,138.669316230188
691,Denis Riley,46.0507747414758,Public university,3/27/2022,Denis Riley,Denis Riley,Denis_Riley422@twace.org,2-663-117-3848,Male,12/25/2020,Madrid,160.836101403384
692,Kamila Murray,223.45321933434,Middle school,3/28/2022,Kamila Murray,Kamila Murray,Kamila_Murray3465@grannar.com,3-466-108-0462,Female,5/13/2020,Omaha,63.5688933825907
693,Leroy Miller,202.435499920247,Middle school,3/8/2022,Leroy Miller,Leroy Miller,Leroy_Miller8833@naiker.biz,3-584-057-5847,Male,12/30/2021,Murfreesboro,199.681080117208
694,Phillip Hopkinson,67.2900139043527,Junior college,4/18/2022,Phillip Hopkinson,Phillip Hopkinson,Phillip_Hopkinson8132@nimogy.biz,4-587-114-0266,Male,7/8/2021,Lisbon,173.677998806666
695,Brad Ballard,-4.8759582721982,Gymnasium,3/16/2022,Brad Ballard,Brad Ballard,Brad_Ballard3490@ubusive.com,5-062-684-1308,Male,3/26/2022,Portland,83.341801074027
696,Oliver Anderson,-44.5788147466159,University college,3/22/2022,Oliver Anderson,Oliver Anderson,Oliver_Anderson4994@eirey.tech,0-831-471-0646,Male,8/5/2021,Innsbruck,22.6615485398385
697,Shelby Dixon,-49.2708704067724,Junior college,3/1/2022,Shelby Dixon,Shelby Dixon,Shelby_Dixon1726@iatim.tech,3-777-446-2763,Female,11/8/2021,Lincoln,24.2444543825669
698,Lily Allen,313.474876085517,Junior college,4/9/2022,Lily Allen,Lily Allen,Lily_Allen5125@elnee.tech,6-472-474-8548,Female,7/13/2020,Baltimore,47.5768937992756
699,Jazmin Rivers,280.863019027683,Junior college,3/8/2022,Jazmin Rivers,Jazmin Rivers,Jazmin_Rivers8566@sheye.org,6-225-185-4552,Female,4/13/2022,Bakersfield,26.5157217995803
700,Esmeralda Wilkinson,33.8867849101717,University college,4/13/2022,Esmeralda Wilkinson,Esmeralda Wilkinson,Esmeralda_Wilkinson4858@guentu.biz,1-771-586-8316,Female,10/1/2021,Bucharest,197.610600387496
701,Tyson Patel,478.106463726194,High school,3/4/2022,Tyson Patel,Tyson Patel,Tyson_Patel9386@muall.tech,1-150-716-6531,Male,10/10/2021,Saint Paul,26.2529671444804
702,Ember Vallory,41.4675202236825,Gymnasium,4/10/2022,Ember Vallory,Ember Vallory,Ember_Vallory5550@deavo.com,6-345-702-5322,Female,1/10/2022,Boston,154.58132438249
703,Susan Exton,466.615725779261,University-preparatory school,4/13/2022,Susan Exton,Susan Exton,Susan_Exton5326@twipet.com,2-063-623-1334,Female,8/31/2021,Albuquerque,186.603318568134
704,Benjamin Tyrrell,379.877340922075,High school,3/24/2022,Benjamin Tyrrell,Benjamin Tyrrell,Benjamin_Tyrrell8748@atink.com,6-800-717-3875,Male,1/18/2021,Philadelphia,147.511594688758
705,Elena Brown,-61.3375438220508,Graduate school,3/15/2022,Elena Brown,Elena Brown,Elena_Brown3529@jiman.org,1-417-866-7135,Female,6/21/2021,Tulsa,127.234902255812
706,Nicholas Stuart,442.011069107806,Junior college,4/10/2022,Nicholas Stuart,Nicholas Stuart,Nicholas_Stuart4057@gembat.biz,1-554-514-2517,Male,6/4/2021,Oakland,107.8836829713
707,Doug Nielson,94.952341689706,University college,4/1/2022,Doug Nielson,Doug Nielson,Doug_Nielson3174@infotech44.tech,2-614-083-1203,Male,1/15/2022,Orlando,100.366754850543
708,Shay Knight,-1.75155740918198,Middle school,3/15/2022,Shay Knight,Shay Knight,Shay_Knight9760@ovock.tech,1-215-530-6423,Female,8/17/2020,Murfreesboro,105.31163007408
709,Payton Harris,297.793905115125,University college,3/30/2022,Payton Harris,Payton Harris,Payton_Harris3446@vetan.org,1-202-367-4836,Female,1/22/2021,Reno,154.849610673659
